Ingredient1,Ingredient2,Cocktail_Count
cranberry vodka,ice,1
apple juice,soda water,1
ice,strawberries,1
apple,apple juice,1
apple,ice,1
apple juice,sugar,1
apple juice,lemon,1
red wine,soda water,1
orange,soda water,1
brandy,soda water,1
apple,brandy,1
lime,red wine,1
fresca,red wine,1
apple,water,1
apple,fresca,1
lime,orange,1
fresca,orange,1
fresca,sugar,1
lime,water,1
fresca,water,1
fresca,lime,1
fresca,lemon,1
apple brandy,soda water,1
soda water,white wine,1
lime,strawberries,1
apple brandy,strawberries,1
strawberries,white wine,1
apple,apple brandy,1
apple,white wine,1
lime,white wine,1
apple brandy,white wine,1
apple brandy,lemon,1
lemon,white wine,1
apple brandy,gin,1
apple brandy,apricot brandy,1
apple brandy,grenadine,1
apple juice,grapefruit juice,1
grapefruit juice,maraschino cherry,1
grapefruit juice,orange juice,1
apple juice,maraschino cherry,1
maraschino cherry,orange juice,1
apple juice,malibu rum,1
apple juice,cinnamon,1
cinnamon,malibu rum,1
pisang ambon,vodka,1
apple juice,pisang ambon,1
fresh lemon juice,pisang ambon,1
lemonade,pisang ambon,1
apple juice,vodka,1
apple juice,fresh lemon juice,1
apple juice,lemonade,1
fresh lemon juice,lemonade,1
apple juice,banana,1
apple juice,pineapple juice,1
apple juice,vermouth,1
applejack,grapefruit juice,1
applejack,triple sec,1
applejack,fresh lemon juice,1
apricot brandy,lime,1
apricot brandy,light rum,1
orange,triple sec,1
egg white,orange,1
apricot brandy,orange,1
apricot brandy,egg white,1
apricot brandy,cherry,1
apricot brandy,powdered sugar,1
apricot brandy,sweet and sour,1
orange bitters,orange juice,1
apricot brandy,orange bitters,1
apricot nectar,soda water,1
rum,soda water,1
pomegranate juice,soda water,1
apricot nectar,lemon,1
apricot nectar,rum,1
apricot nectar,pomegranate juice,1
lemon,pomegranate juice,1
pomegranate juice,rum,1
asafoetida,yoghurt,1
asafoetida,water,1
asafoetida,salt,1
bacardi limon,coca-cola,1
coffee,frangelico,1
cream,frangelico,1
cream,vanilla ice-cream,1
butterscotch schnapps,godiva liqueur,1
baileys irish cream,godiva liqueur,1
godiva liqueur,kahlua,1
baileys irish cream,grenadine,1
baileys irish cream,blue curacao,1
blue curacao,kahlua,1
blue curacao,sambuca,1
coffee,whisky,1
baileys irish cream,whisky,1
baileys irish cream,irish whiskey,1
baileys irish cream,orange juice,1
baileys irish cream,bourbon,1
bourbon,vodka,1
bourbon,orange juice,1
baileys irish cream,sugar,1
baileys irish cream,sugar syrup,1
baileys irish cream,chambord raspberry liqueur,1
chambord raspberry liqueur,sugar,1
chambord raspberry liqueur,sugar syrup,1
coffee,goldschlager,1
goldschlager,heavy cream,1
baileys irish cream,heavy cream,1
coffee,heavy cream,1
heavy cream,kahlua,1
cream,white creme de menthe,1
frangelico,milk,1
oreo cookie,vodka,1
baileys irish cream,oreo cookie,1
oreo cookie,vanilla ice-cream,1
kahlua,oreo cookie,1
baileys irish cream,midori melon liqueur,1
kahlua,midori melon liqueur,1
baileys irish cream,gin,1
gin,ouzo,1
baileys irish cream,ouzo,1
grand marnier,ouzo,1
sambuca,white creme de menthe,1
banana,light rum,1
banana,sugar,1
banana,triple sec,1
banana,fresh lime juice,1
banana,sugar syrup,1
milk,sugar syrup,1
milk,orange juice,1
milk,strawberries,1
strawberries,yoghurt,1
honey,yoghurt,1
milk,yoghurt,1
banana,fruit,1
banana,ice,1
fruit,orange juice,1
orange juice,yoghurt,1
banana liqueur,grenadine,1
banana liqueur,dark rum,1
banana liqueur,rum,1
banana liqueur,sweet and sour,1
banana liqueur,malibu rum,1
banana liqueur,vodka,1
banana liqueur,peach schnapps,1
cherry,creme de cacao,1
cherry,whipped cream,1
banana liqueur,cherry,1
cherry,chocolate syrup,1
banana,creme de cacao,1
banana,whipped cream,1
banana,banana liqueur,1
banana,chocolate syrup,1
creme de cacao,whipped cream,1
banana liqueur,creme de cacao,1
chocolate syrup,creme de cacao,1
banana liqueur,whipped cream,1
chocolate syrup,whipped cream,1
banana liqueur,chocolate syrup,1
hot sauce,tomato juice,1
beer,tomato juice,1
soy sauce,tomato juice,1
beer,hot sauce,1
hot sauce,soy sauce,1
hot sauce,worcestershire sauce,1
fresh lime juice,hot sauce,1
beer,soy sauce,1
beer,worcestershire sauce,1
beer,fresh lime juice,1
soy sauce,worcestershire sauce,1
fresh lime juice,soy sauce,1
fresh lime juice,worcestershire sauce,1
beer,ice,1
ice,whiskey,1
beer,whiskey,1
lemonade,whiskey,1
gin,wine,1
benedictine,wine,1
lime,wine,1
orange juice,tea,1
brandy,orange juice,1
orange juice,rye whiskey,1
red wine,tea,1
benedictine,red wine,1
red wine,rum,1
red wine,rye whiskey,1
benedictine,tea,1
rum,tea,1
fresh lemon juice,tea,1
brandy,tea,1
rye whiskey,tea,1
benedictine,rum,1
benedictine,fresh lemon juice,1
benedictine,brandy,1
benedictine,rye whiskey,1
brandy,rum,1
rum,rye whiskey,1
fresh lemon juice,rye whiskey,1
brandy,rye whiskey,1
benedictine,scotch,1
benedictine,sweet vermouth,1
benedictine,blended whiskey,1
benedictine,lemon,1
benedictine,grenadine,1
benedictine,dry vermouth,1
ice,kiwi liqueur,1
bitter lemon,kiwi liqueur,1
blue curacao,lemon peel,1
bitters,blue curacao,1
blue curacao,maraschino cherry,1
lemon peel,triple sec,1
lemon peel,maraschino cherry,1
maraschino cherry,triple sec,1
bitters,maraschino liqueur,1
bitters,rum,1
egg white,rum,1
bitters,egg white,1
bitters,nutmeg,1
fresh lime juice,nutmeg,1
cognac,sugar,1
bitters,cognac,1
champagne,cognac,1
champagne,lemon peel,1
bitters,champagne,1
bitters,bourbon,1
bitters,orange,1
maraschino cherry,water,1
dubonnet rouge,gin,1
dubonnet rouge,lemon peel,1
bitters,dubonnet rouge,1
scotch,sugar syrup,1
sugar syrup,sweet vermouth,1
bitters,sugar syrup,1
bitters,club soda,1
bitters,brandy,1
brandy,ginger ale,1
bitters,ginger ale,1
grapefruit juice,light rum,1
bitters,grapefruit juice,1
black sambuca,orange juice,1
blackberries,vermouth,1
blackberries,maraschino cherry,1
blackberries,lemonade,1
sugar syrup,vermouth,1
maraschino cherry,sugar syrup,1
maraschino cherry,vermouth,1
lemonade,vermouth,1
lemonade,maraschino cherry,1
blackberries,soda water,1
blackberries,mint,1
blackberries,fresh lemon juice,1
coconut liqueur,gin,1
blackberries,elderflower cordial,1
blackberries,coconut liqueur,1
blackberries,fresh lime juice,1
coconut liqueur,elderflower cordial,1
elderflower cordial,fresh lime juice,1
coconut liqueur,fresh lime juice,1
blackberry brandy,dry vermouth,1
blackberry brandy,bourbon,1
blackberry brandy,lemon peel,1
blackberry brandy,fresh lemon juice,1
bourbon,dry vermouth,1
blackberry brandy,malibu rum,1
blackberry brandy,orange juice,1
blackberry brandy,pineapple juice,1
blackberry brandy,cranberry juice,1
blackcurrant cordial,cider,1
blackcurrant cordial,lager,1
blended scotch,ginger syrup,1
blended scotch,honey syrup,1
blended scotch,fresh lemon juice,1
blended scotch,islay single malt scotch,1
ginger syrup,honey syrup,1
fresh lemon juice,ginger syrup,1
ginger syrup,islay single malt scotch,1
fresh lemon juice,honey syrup,1
honey syrup,islay single malt scotch,1
fresh lemon juice,islay single malt scotch,1
blended whiskey,pineapple juice,1
blended whiskey,dry vermouth,1
dry vermouth,pineapple juice,1
cherry,egg white,1
blended whiskey,grenadine,1
carbonated water,lime,1
blended whiskey,light rum,1
blended whiskey,port,1
blended whiskey,red wine,1
blended whiskey,sugar,1
cherry,red wine,1
blue curacao,sugar,1
lemonade,triple sec,1
coconut liqueur,vodka,1
coconut liqueur,sprite,1
blue curacao,sprite,1
blue curacao,coconut liqueur,1
blue curacao,passoa,1
ice,passoa,1
dark rum,passoa,1
passoa,sweet and sour,1
blue curacao,dark rum,1
ice,sweet and sour,1
cherry,vodka,1
cherry,lemonade,1
blue curacao,cherry,1
blue curacao,salt,1
blue curacao,tequila,1
mint,raspberry vodka,1
blue curacao,raspberry vodka,1
raspberry vodka,sugar syrup,1
cranberry juice,raspberry vodka,1
lemonade,raspberry vodka,1
fresh lime juice,raspberry vodka,1
blue curacao,mint,1
cranberry juice,mint,1
lemonade,mint,1
blue curacao,sugar syrup,1
blue curacao,cranberry juice,1
cranberry juice,sugar syrup,1
cranberry juice,lemonade,1
fresh lime juice,lemonade,1
malibu rum,sweet and sour,1
peach schnapps,sweet and sour,1
malibu rum,peach schnapps,1
blue curacao,malibu rum,1
blue curacao,peach schnapps,1
blue curacao,cider,1
blue curacao,lager,1
gin,lemon-lime soda,1
gin,sour mix,1
blue curacao,lemon-lime soda,1
lemon-lime soda,sour mix,1
rum,sour mix,1
rosemary,tonic water,1
blue curacao,tonic water,1
blue curacao,rosemary,1
creme de cacao,light rum,1
blue curacao,creme de cacao,1
blue curacao,light rum,1
coca-cola,vanilla ice-cream,1
bourbon,coca-cola,1
bourbon,vanilla ice-cream,1
light rum,salt,1
light rum,whipping cream,1
egg yolk,light rum,1
light rum,vanilla extract,1
bourbon,salt,1
bourbon,whipping cream,1
bourbon,milk,1
bourbon,egg yolk,1
bourbon,vanilla extract,1
bourbon,egg white,1
bourbon,nutmeg,1
salt,whipping cream,1
egg yolk,salt,1
egg white,salt,1
nutmeg,salt,1
milk,whipping cream,1
egg yolk,whipping cream,1
vanilla extract,whipping cream,1
egg white,whipping cream,1
nutmeg,whipping cream,1
egg yolk,sugar,1
egg yolk,vanilla extract,1
egg white,egg yolk,1
egg yolk,nutmeg,1
bourbon,club soda,1
dark rum,heavy cream,1
bourbon,heavy cream,1
bourbon,dark rum,1
mint,powdered sugar,1
bourbon,carbonated water,1
bourbon,lemon,1
bourbon,brandy,1
mint,raspberry syrup,1
bourbon,raspberry syrup,1
bourbon,peychaud bitters,1
peychaud bitters,ricard,1
peychaud bitters,sugar,1
peychaud bitters,water,1
lemon peel,peychaud bitters,1
bourbon,ricard,1
ricard,sugar,1
lemon peel,ricard,1
brandy,dry vermouth,1
brandy,lime,1
brandy,creme de cacao,1
brandy,maraschino cherry,1
brandy,egg,1
light cream,sugar,1
brandy,cherry,1
coffee,triple sec,1
brandy,milk,1
milk,triple sec,1
carbonated water,sweet vermouth,1
club soda,sweet vermouth,1
brandy,kahlua,1
brandy,egg yolk,1
egg yolk,port,1
brandy,raspberry syrup,1
light rum,raspberry syrup,1
lemon,raspberry syrup,1
brandy,scotch,1
brandy,mint,1
mint,scotch,1
orange,scotch,1
brandy,white creme de menthe,1
brown sugar,passion fruit juice,1
brown sugar,ginger ale,1
brown sugar,lime,1
brown sugar,ice,1
ginger ale,passion fruit juice,1
ice,passion fruit juice,1
cinnamon,peach nectar,1
cinnamon,fresh lime juice,1
cloves,peach nectar,1
cloves,fresh lime juice,1
brown sugar,peach nectar,1
brown sugar,fresh lime juice,1
fresh lime juice,peach nectar,1
brown sugar,water,1
brown sugar,vanilla extract,1
brown sugar,rum,1
brown sugar,coffee,1
chocolate,vanilla extract,1
butter,vanilla extract,1
half-and-half,vanilla extract,1
marshmallows,vanilla extract,1
butter,chocolate,1
chocolate,half-and-half,1
chocolate,marshmallows,1
butter,half-and-half,1
butter,marshmallows,1
half-and-half,marshmallows,1
butterscotch schnapps,vodka,1
butterscotch schnapps,vanilla ice-cream,1
goldschlager,milk,1
cachaca,sugar,1
cachaca,demerara sugar,1
demerara sugar,lime,1
cachaca,elderflower cordial,1
campari,lemon peel,1
lemon peel,orange peel,1
campari,ginger beer,1
ginger beer,orange peel,1
ginger beer,orange juice,1
orange peel,rye whiskey,1
rye whiskey,sweet vermouth,1
campari,lager,1
campari,dry vermouth,1
campari,prosecco,1
campari,soda water,1
campari,creme de banane,1
campari,dark rum,1
campari,pineapple juice,1
creme de banane,dark rum,1
creme de banane,pineapple juice,1
creme de banane,fresh lime juice,1
gin,orgeat syrup,1
campari,light rum,1
light rum,orange peel,1
campari,orgeat syrup,1
orange peel,orgeat syrup,1
orgeat syrup,sweet vermouth,1
fresh lemon juice,orgeat syrup,1
campari,fresh lemon juice,1
fresh lemon juice,sweet vermouth,1
campari,salt,1
rosemary syrup,salt,1
campari,tequila,1
campari,rosemary syrup,1
rosemary syrup,tequila,1
fresh lime juice,rosemary syrup,1
caramel coloring,vodka,1
vanilla,vodka,1
caramel coloring,sugar,1
sugar,vanilla,1
caramel coloring,water,1
caramel coloring,vanilla,1
caramel coloring,coffee,1
vanilla,water,1
coffee,vanilla,1
carbonated soft drink,grape juice,1
carbonated soft drink,sherbet,1
grape juice,sherbet,1
light rum,port,1
cherry,mint,1
carbonated water,mint,1
carbonated water,orange,1
carbonated water,sugar,1
gin,strawberries,1
grenadine,strawberries,1
carbonated water,strawberries,1
pineapple,strawberries,1
pineapple,powdered sugar,1
carbonated water,pineapple,1
carbonated water,light cream,1
lemon,light cream,1
dry vermouth,orange spiral,1
carbonated water,egg,1
egg,lemon,1
cherry,cherry brandy,1
cherry brandy,grenadine,1
carbonated water,cherry brandy,1
carbonated water,sweet and sour,1
carbonated water,creme de cassis,1
creme de cassis,dry vermouth,1
cardamom,cinnamon,1
cinnamon,tea,1
black pepper,cinnamon,1
cinnamon,ginger,1
cardamom,cloves,1
cloves,milk,1
cloves,tea,1
black pepper,cloves,1
cardamom,water,1
cardamom,milk,1
cardamom,tea,1
black pepper,cardamom,1
cardamom,ginger,1
black pepper,sugar,1
black pepper,water,1
milk,tea,1
black pepper,milk,1
ginger,milk,1
black pepper,tea,1
ginger,tea,1
black pepper,ginger,1
cardamom,whipping cream,1
cardamom,ice,1
cardamom,coriander,1
ice,whipping cream,1
coffee,whipping cream,1
coriander,whipping cream,1
coffee,ice,1
coriander,ice,1
coffee,coriander,1
cream,sugar,1
cardamom,cream,1
cayenne pepper,sugar,1
cayenne pepper,water,1
cayenne pepper,lemon,1
cayenne pepper,ginger,1
lemon,tabasco sauce,1
celery salt,tabasco sauce,1
celery salt,tequila,1
lemon,tomato juice,1
celery salt,lemon,1
peachtree schnapps,vodka,1
cranberry juice,peachtree schnapps,1
chambord raspberry liqueur,peachtree schnapps,1
chambord raspberry liqueur,coffee,1
cocoa powder,coffee,1
chambord raspberry liqueur,whipped cream,1
cocoa powder,whipped cream,1
chambord raspberry liqueur,cocoa powder,1
gin,malibu rum,1
chambord raspberry liqueur,gin,1
gin,midori melon liqueur,1
malibu rum,tequila,1
chambord raspberry liqueur,malibu rum,1
malibu rum,midori melon liqueur,1
malibu rum,rum,1
malibu rum,triple sec,1
chambord raspberry liqueur,tequila,1
midori melon liqueur,tequila,1
chambord raspberry liqueur,midori melon liqueur,1
chambord raspberry liqueur,rum,1
chambord raspberry liqueur,triple sec,1
midori melon liqueur,rum,1
midori melon liqueur,triple sec,1
chambord raspberry liqueur,crown royal,1
crown royal,peach schnapps,1
chambord raspberry liqueur,peach schnapps,1
chambord raspberry liqueur,zima,1
chambord raspberry liqueur,soda water,1
champagne,cranberry juice,1
champagne,green creme de menthe,1
champagne,peach schnapps,1
champagne,gin,1
champagne,orange,1
champagne,maraschino cherry,1
club soda,pineapple juice,1
champagne,club soda,1
champagne,lemon,1
champagne,pineapple juice,1
orange,orange bitters,1
cherry,ice,1
cherry,orange juice,1
cherry,peach brandy,1
cherry,irish whiskey,1
orange juice,peach brandy,1
irish whiskey,orange juice,1
orange,peach brandy,1
irish whiskey,peach brandy,1
peach brandy,sweet and sour,1
irish whiskey,orange,1
orange,sweet and sour,1
irish whiskey,sweet and sour,1
cherry,orgeat syrup,1
orgeat syrup,sweet and sour,1
orgeat syrup,triple sec,1
dry vermouth,triple sec,1
orange bitters,triple sec,1
cherry,lime,1
cherry,scotch,1
lime,scotch,1
powdered sugar,scotch,1
lemon,scotch,1
powdered sugar,tequila,1
cherry,tequila,1
cherry brandy,vodka,1
chocolate syrup,vodka,1
cherry brandy,milk,1
cherry brandy,ice,1
chocolate syrup,ice,1
cherry brandy,chocolate syrup,1
cherry brandy,light rum,1
cherry brandy,light cream,1
light cream,light rum,1
cherry brandy,orange juice,1
cherry brandy,ginger ale,1
cherry brandy,southern comfort,1
southern comfort,yukon jack,1
cherry brandy,yukon jack,1
sweet and sour,yukon jack,1
cherry brandy,dark rum,1
cherry heering,green chartreuse,1
cherry heering,hot chocolate,1
green chartreuse,hot chocolate,1
cherry heering,soda water,1
cherry heering,ice,1
cherry heering,orange juice,1
cloves,red chili flakes,1
cherry juice,cloves,1
cloves,orange peel,1
cloves,vodka,1
cherry juice,red chili flakes,1
orange peel,red chili flakes,1
red chili flakes,vodka,1
ginger,red chili flakes,1
cherry juice,orange peel,1
cherry juice,vodka,1
cherry juice,ginger,1
ginger,orange peel,1
ginger,vodka,1
cherry liqueur,vodka,1
cherry liqueur,cranberry juice,1
cherry liqueur,orange juice,1
cinnamon,egg,1
chocolate,egg,1
chocolate,water,1
cinnamon,whipped cream,1
cinnamon,vanilla,1
cinnamon,heavy cream,1
milk,vanilla,1
chocolate,whipped cream,1
vanilla,whipped cream,1
heavy cream,whipped cream,1
chocolate,vanilla,1
chocolate,heavy cream,1
heavy cream,vanilla,1
milk,orange peel,1
espresso,orange peel,1
chocolate,orange peel,1
nutmeg,orange peel,1
espresso,milk,1
chocolate,espresso,1
espresso,nutmeg,1
chocolate,nutmeg,1
cinnamon,egg yolk,1
chocolate,egg yolk,1
coffee liqueur,mezcal,1
chocolate liqueur,mezcal,1
chocolate liqueur,coffee liqueur,1
chocolate syrup,soda water,1
milk,soda water,1
coconut syrup,condensed milk,1
condensed milk,half-and-half,1
condensed milk,scotch,1
chocolate syrup,condensed milk,1
coconut syrup,half-and-half,1
coconut syrup,scotch,1
chocolate syrup,coconut syrup,1
half-and-half,scotch,1
chocolate syrup,half-and-half,1
chocolate syrup,scotch,1
chocolate syrup,mint syrup,1
milk,mint syrup,1
cinnamon,whiskey,1
cinnamon,honey,1
cinnamon,lemon,1
cloves,whiskey,1
cloves,honey,1
cloves,lemon,1
honey,whiskey,1
lemon,whiskey,1
honey,lemon,1
brandy,cinnamon,1
brandy,cloves,1
cinnamon,fresh lemon juice,1
cloves,fresh lemon juice,1
orange juice,sugar,1
cinnamon,coffee,1
club soda,cranberry juice,1
club soda,strawberry schnapps,1
cranberry juice,strawberry schnapps,1
orange juice,strawberry schnapps,1
club soda,southern comfort,1
passion fruit syrup,southern comfort,1
club soda,passion fruit syrup,1
passion fruit syrup,sweet and sour,1
passion fruit syrup,vodka,1
dark rum,lemon,1
dark rum,maraschino cherry,1
bitters,sweet and sour,1
bitters,vodka,1
bitters,tequila,1
bitters,lemon,1
bitters,coca-cola,1
coca-cola,triple sec,1
coca-cola,peach vodka,1
coca-cola,fresh lemon juice,1
coca-cola,dark rum,1
dark rum,lime,1
coca-cola,kahlua,1
coca-cola,guinness stout,1
guinness stout,vodka,1
guinness stout,kahlua,1
coca-cola,vanilla extract,1
coca-cola,tennessee whiskey,1
ice,vanilla extract,1
ice,tennessee whiskey,1
tennessee whiskey,vanilla extract,1
lemon peel,tequila,1
coca-cola,lemon peel,1
coca-cola,egg,1
egg,sweet and sour,1
cocoa powder,espresso,1
espresso,honey,1
cocoa powder,honey,1
cocoa powder,salt,1
coconut liqueur,prosecco,1
coconut liqueur,rum,1
grapefruit juice,soda water,1
coconut liqueur,soda water,1
coconut liqueur,grapefruit juice,1
coconut milk,pineapple,1
coconut milk,light rum,1
coffee,everclear,1
espresso,vanilla syrup,1
rum,vanilla syrup,1
coffee,vanilla syrup,1
espresso,rum,1
coffee,espresso,1
coffee,peach schnapps,1
corn syrup,vodka,1
corn syrup,sugar,1
corn syrup,water,1
corn syrup,vanilla extract,1
coffee,corn syrup,1
sugar,whipped cream,1
irish whiskey,whipped cream,1
irish whiskey,sugar,1
water,whipped cream,1
rum,whipped cream,1
coffee,grain alcohol,1
coffee,grand marnier,1
lime vodka,sherry,1
coffee brandy,sherry,1
coffee brandy,lime vodka,1
coffee liqueur,ice,1
coffee liqueur,light rum,1
coffee liqueur,milk,1
coffee liqueur,light cream,1
cognac,creme de cassis,1
cognac,dry vermouth,1
dry vermouth,water,1
dry vermouth,sugar syrup,1
dry vermouth,rum,1
dry vermouth,fresh lime juice,1
cognac,water,1
cognac,sugar syrup,1
cognac,rum,1
cognac,fresh lime juice,1
sugar syrup,water,1
fresh lime juice,water,1
rum,sugar syrup,1
cognac,ginger,1
cognac,lime,1
cognac,cointreau,1
cointreau,fresh lime juice,1
cranberry juice,lime,1
cointreau,lime,1
cointreau,ice,1
condensed milk,egg,1
egg,rum,1
condensed milk,sugar,1
condensed milk,milk,1
condensed milk,vanilla extract,1
condensed milk,rum,1
condensed milk,nutmeg,1
milk,rum,1
condensed milk,mint,1
mint,tea,1
condensed milk,water,1
condensed milk,tea,1
condensed milk,ice,1
ice,water,1
ice,tea,1
corona,light rum,1
roses sweetened lime juice,vodka,1
cranberry juice,roses sweetened lime juice,1
roses sweetened lime juice,sprite,1
creme de banane,soda water,1
cranberry juice,soda water,1
midori melon liqueur,soda water,1
cranberry juice,creme de banane,1
creme de banane,midori melon liqueur,1
cranberry juice,orange,1
orange,surge,1
cranberry juice,dark rum,1
cranberry juice,surge,1
dark rum,surge,1
everclear,peach schnapps,1
cranberry juice,everclear,1
cranberry juice,gin,1
cranberry juice,grenadine,1
cranberry juice,grapefruit juice,1
cream,pineapple juice,1
cream,grenadine,1
crown royal,kahlua,1
cream,crown royal,1
cream,triple sec,1
cream,galliano,1
cream,vodka,1
cream,ice,1
cream,rum,1
gin,vanilla extract,1
cream,gin,1
soda water,vanilla extract,1
egg white,soda water,1
cream,soda water,1
sugar syrup,vanilla extract,1
fresh lemon juice,vanilla extract,1
cream,vanilla extract,1
egg white,sugar syrup,1
cream,sugar syrup,1
cream,fresh lemon juice,1
cream,egg white,1
ice,malibu rum,1
malibu rum,pineapple,1
cream of coconut,malibu rum,1
orange juice,pineapple,1
cream of coconut,orange juice,1
pineapple,vodka,1
cream of coconut,vodka,1
grenadine,ice,1
cream of coconut,grenadine,1
ice,pineapple,1
cream of coconut,pineapple,1
cream of coconut,pineapple juice,1
cream of coconut,tequila,1
cream of coconut,fresh lime juice,1
creme de banane,grenadine,1
gin,nutmeg,1
green creme de menthe,light cream,1
creme de cacao,green creme de menthe,1
creme de cassis,lime,1
creme de cassis,ginger,1
creme de cassis,fresh lime juice,1
creme de cassis,ginger beer,1
ginger beer,lime,1
fresh lime juice,ginger,1
ginger,ginger beer,1
creme de cassis,sugar syrup,1
creme de cassis,vodka,1
creme de mure,gin,1
creme de mure,sugar syrup,1
creme de mure,fresh lemon juice,1
crown royal,frangelico,1
cucumber,gin,1
cucumber,lemon,1
cucumber,fresh lime juice,1
cucumber,ginger beer,1
fresh lime juice,lemon,1
ginger beer,lemon,1
cumin seed,mint,1
mint,salt,1
mint,yoghurt,1
cumin seed,salt,1
cumin seed,water,1
cumin seed,yoghurt,1
dark rum,light rum,1
dark rum,peach nectar,1
dark rum,egg white,1
egg white,kahlua,1
lemon-lime soda,sugar,1
dark rum,lemon-lime soda,1
dark rum,ginger beer,1
melon liqueur,mountain dew,1
melon liqueur,vodka,1
melon liqueur,tequila,1
dark rum,melon liqueur,1
melon liqueur,triple sec,1
mountain dew,tequila,1
dark rum,mountain dew,1
mountain dew,triple sec,1
dark rum,tequila,1
dark rum,triple sec,1
dark rum,tia maria,1
dark rum,orgeat syrup,1
orange juice,orgeat syrup,1
orgeat syrup,pineapple juice,1
dark rum,light cream,1
kahlua,light cream,1
dark rum,nutmeg,1
kahlua,nutmeg,1
drambuie,dry vermouth,1
dry vermouth,soda water,1
soda water,sweet vermouth,1
dry vermouth,lemon,1
dry vermouth,olive brine,1
olive brine,vodka,1
lemon,olive,1
olive,olive brine,1
lemon,olive brine,1
dry vermouth,sloe gin,1
orange bitters,sloe gin,1
egg,salt,1
egg,port,1
light cream,port,1
nutmeg,port,1
milk,sherry,1
light cream,sherry,1
mint,triple sec,1
egg white,mint,1
gin,milk,1
gin,heavy cream,1
grenadine,milk,1
grenadine,heavy cream,1
egg white,heavy cream,1
grenadine,light cream,1
pisco,sugar,1
ice,pisco,1
fresh lemon juice,pisco,1
egg white,pisco,1
egg white,ice,1
ginger ale,tequila,1
egg white,tequila,1
ginger ale,grenadine,1
egg white,ginger ale,1
powdered sugar,sweet vermouth,1
lemon,sweet vermouth,1
egg white,sweet vermouth,1
egg yolk,gin,1
egg yolk,maraschino liqueur,1
egg yolk,fresh lemon juice,1
egg yolk,orange bitters,1
elderflower cordial,soda water,1
elderflower cordial,vodka,1
elderflower cordial,fresh lemon juice,1
gin,rosso vermouth,1
mint,rosso vermouth,1
elderflower cordial,mint,1
mint,tonic water,1
ginger,mint,1
elderflower cordial,rosso vermouth,1
rosso vermouth,tonic water,1
lime,rosso vermouth,1
ginger,rosso vermouth,1
elderflower cordial,tonic water,1
elderflower cordial,ginger,1
ginger,tonic water,1
everclear,kool-aid,1
kool-aid,orange juice,1
kool-aid,wine,1
everclear,wine,1
mountain dew,surge,1
everclear,mountain dew,1
mountain dew,rum,1
fresh lemon juice,mountain dew,1
surge,vodka,1
everclear,surge,1
rum,surge,1
fresh lemon juice,surge,1
everclear,rum,1
everclear,fresh lemon juice,1
lime,pepper,1
pepper,pineapple juice,1
grapefruit juice,pineapple juice,1
pineapple juice,tequila,1
lime,pineapple juice,1
salt,vodka,1
fruit,salt,1
fruit juice,salt,1
rum,salt,1
fruit,vodka,1
fruit juice,vodka,1
fruit,tequila,1
fruit juice,tequila,1
fruit,fruit juice,1
fruit,rum,1
fruit,triple sec,1
fruit juice,ice,1
fruit juice,rum,1
fruit juice,triple sec,1
fruit juice,yoghurt,1
fruit punch,orange juice,1
fruit punch,ginger ale,1
fruit punch,ice,1
fruit punch,rum,1
galliano,prosecco,1
galliano,rum,1
galliano,pineapple juice,1
galliano,soda water,1
kahlua,soda water,1
galliano,kahlua,1
peach vodka,sirup of roses,1
galliano,peach vodka,1
fresh lemon juice,peach vodka,1
galliano,sirup of roses,1
fresh lemon juice,sirup of roses,1
fresh lemon juice,galliano,1
galliano,ice,1
galliano,ginger ale,1
galliano,vodka,1
galliano,light rum,1
grand marnier,grenadine,1
gin,vermouth,1
lemon peel,yellow chartreuse,1
orange bitters,yellow chartreuse,1
lemon peel,orange bitters,1
grand marnier,lemon peel,1
green chartreuse,orange bitters,1
club soda,light rum,1
club soda,tequila,1
club soda,triple sec,1
gin,peach bitters,1
gin,lillet,1
lillet,orange peel,1
lillet,sweet vermouth,1
lime,sugar syrup,1
grenadine,orange,1
orange peel,water,1
orange peel,powdered sugar,1
lemon,orange peel,1
pineapple,triple sec,1
green chartreuse,yellow chartreuse,1
gin,rosemary syrup,1
orange peel,soda water,1
rosemary,soda water,1
rosemary syrup,soda water,1
orange juice,rosemary,1
orange peel,rosemary,1
orange peel,rosemary syrup,1
fresh lemon juice,rosemary,1
rosemary,rosemary syrup,1
fresh lemon juice,rosemary syrup,1
gin,grapefruit juice,1
gin,salt,1
grapefruit juice,salt,1
green chartreuse,maraschino liqueur,1
fresh lime juice,green chartreuse,1
gin,melon liqueur,1
gin,prosecco,1
melon liqueur,prosecco,1
fresh lemon juice,melon liqueur,1
melon liqueur,orange bitters,1
fresh lemon juice,prosecco,1
orange bitters,prosecco,1
lillet blanc,vodka,1
pineapple,water,1
pineapple juice,water,1
fresh lemon juice,pineapple,1
fresh lemon juice,ginger,1
ginger,pineapple juice,1
ginger ale,light rum,1
lemon peel,orange juice,1
lemonade,rum,1
ginger ale,lemonade,1
ice,spiced rum,1
lime,spiced rum,1
fresh lime juice,ginger ale,1
ginger ale,sugar syrup,1
ginger beer,light rum,1
vanilla ice-cream,whipped cream,1
godiva liqueur,whipped cream,1
godiva liqueur,vanilla ice-cream,1
gold rum,triple sec,1
gold rum,orange juice,1
goldschlager,irish cream,1
