Ingredient1,Ingredient2,Cocktail_Count
apple juice,ice,3
apple,soda water,3
ice,soda water,3
strawberries,sugar,3
lemon,strawberries,3
apple,sugar,3
orange,red wine,3
brandy,red wine,3
brandy,orange,3
red wine,water,3
grenadine,lime,3
apricot brandy,triple sec,3
lime,triple sec,3
egg white,triple sec,3
dry vermouth,fresh lemon juice,3
grenadine,powdered sugar,3
orange juice,sweet and sour,3
baileys irish cream,frangelico,3
baileys irish cream,cream,3
butterscotch schnapps,milk,3
godiva liqueur,milk,3
baileys irish cream,vodka,3
gin,grand marnier,3
cherry,light rum,3
banana,milk,3
fruit,ice,3
ice,yoghurt,3
banana liqueur,pineapple juice,3
pineapple juice,rum,3
benedictine,gin,3
brandy,fresh lemon juice,3
bitters,sweet vermouth,3
dry vermouth,sweet vermouth,3
blue curacao,gin,3
bitters,maraschino cherry,3
bourbon,orange,3
mint,soda water,3
blended whiskey,cherry,3
blended whiskey,carbonated water,3
carbonated water,grenadine,3
lime,powdered sugar,3
carbonated water,light rum,3
port,powdered sugar,3
carbonated water,egg white,3
blue curacao,lemonade,3
gin,rum,3
fresh lemon juice,water,3
milk,salt,3
salt,vanilla extract,3
mint,water,3
brandy,carbonated water,3
carbonated water,dry vermouth,3
club soda,lemon,3
egg,light cream,3
egg,sugar,3
coffee,milk,3
brandy,sweet vermouth,3
ginger ale,lime,3
coffee,vanilla extract,3
coffee,rum,3
cachaca,lime,3
campari,orange juice,3
campari,gin,3
fresh lime juice,pineapple juice,3
coffee,vodka,3
cherry,orange,3
grenadine,pineapple,3
gin,light cream,3
light cream,powdered sugar,3
cherry,sweet and sour,3
cloves,water,3
cardamom,sugar,3
ginger,sugar,3
tabasco sauce,tequila,3
fresh lemon juice,tequila,3
fresh lemon juice,tomato juice,3
chambord raspberry liqueur,vodka,3
fresh lemon juice,maraschino liqueur,3
fresh lemon juice,orange bitters,3
light rum,sweet and sour,3
sweet and sour,triple sec,3
chocolate syrup,milk,3
orange juice,soda water,3
chocolate,cinnamon,3
cinnamon,red wine,3
cloves,red wine,3
coca-cola,tequila,3
lemon peel,light rum,3
cocoa powder,sugar,3
cocoa powder,milk,3
gin,water,3
ginger,lime,3
cointreau,vodka,3
cream,orange juice,3
pineapple,pineapple juice,3
fresh lime juice,lime,3
light rum,orange juice,3
fresh lemon juice,ginger ale,3
salt,triple sec,3
gin,ice,3
gin,green chartreuse,3
gin,pineapple juice,3
fresh lime juice,maraschino liqueur,3
fresh lemon juice,pineapple juice,3
sugar,yoghurt,3
151 proof rum,malibu rum,2
151 proof rum,light rum,2
151 proof rum,wild turkey,2
151 proof rum,bitters,2
151 proof rum,amaretto,2
amaretto,beer,2
grenadine,kahlua,2
151 proof rum,kahlua,2
absolut citron,lemon,2
bitters,water,2
grenadine,malibu rum,2
amaretto,kahlua,2
angostura bitters,grenadine,2
grenadine,rum,2
fresh lime juice,gold rum,2
blue curacao,sour mix,2
sour mix,vodka,2
7-up,vodka,2
champagne,vodka,2
7-up,beer,2
beer,lemonade,2
lemon,lemonade,2
gin,lillet blanc,2
absolut citron,orange juice,2
bitter lemon,ice,2
absolut citron,ice,2
lemon,sweet and sour,2
cranberry juice,midori melon liqueur,2
cranberry juice,sprite,2
sugar,tea,2
absolut vodka,cranberry juice,2
coconut liqueur,pineapple juice,2
cranberry juice,ginger ale,2
champagne,fresh lemon juice,2
agave syrup,tequila,2
agave syrup,fresh lime juice,2
grapefruit juice,pepper,2
pepper,tequila,2
allspice,cinnamon,2
allspice,sugar,2
coriander,sugar,2
brown sugar,cinnamon,2
brown sugar,cloves,2
brown sugar,orange juice,2
grain alcohol,sugar,2
grain alcohol,water,2
almond flavoring,sugar,2
brandy,water,2
pineapple juice,sugar,2
amaretto,grenadine,2
sour mix,southern comfort,2
ice,maraschino cherry,2
amaretto,cognac,2
amaretto,sloe gin,2
amaretto,coffee,2
club soda,fresh lime juice,2
amaretto,brandy,2
midori melon liqueur,sweet and sour,2
pineapple juice,sweet and sour,2
amaretto,pineapple juice,2
amaretto,whipped cream,2
amaretto,chocolate liqueur,2
amaretto,milk,2
amaretto,jack daniels,2
light cream,vodka,2
creme de cacao,vodka,2
